Wavelength,AbsorptionRate,Transmission,OpticalDensity,Material
714,4.88E-11,86.15774934,53.66850851,ITO
715,4.35E-11,86.13202703,56.28384488,ITO
716,3.89E-11,86.10106482,50.70106436,ITO
717,3.42E-11,86.06392322,57.32582126,ITO
718,2.96E-11,86.02090711,59.50668133,ITO
719,2.49E-11,85.97311853,60.18903172,ITO
720,2.21E-11,85.92167258,55.47732692,ITO
721,1.97E-11,85.86768435,55.68395221,ITO
722,1.73E-11,85.81226892,59.83189887,ITO
723,1.49E-11,85.75654138,61.88839858,ITO
724,1.26E-11,85.70161682,54.0988098,ITO
725,1.11E-11,85.64861032,65.86031465,ITO
726,9.88E-12,85.5986368,34.90058983,ITO
727,8.68E-12,85.55253687,60.00880153,ITO
728,7.48E-12,85.51031853,62.11362515,ITO
729,6.28E-12,85.47183237,53.0410234,ITO
730,5.51E-12,85.43692899,40.01159088,ITO
731,4.91E-12,85.40545899,53.47133687,ITO
732,4.31E-12,85.37727297,65.57067169,ITO
733,3.71E-12,85.35222153,58.70098159,ITO
734,3.11E-12,85.33015528,51.44135496,ITO
735,2.71E-12,85.3109248,38.13811088,ITO
736,2.41E-12,85.29429295,52.75705615,ITO
737,2.12E-12,85.27969216,54.45102519,ITO
738,1.82E-12,85.26647711,55.35662236,ITO
739,1.52E-12,85.25400247,52.77954566,ITO
740,1.32E-12,85.2416229,45.95788834,ITO
741,1.17E-12,85.22869308,58.55741922,ITO
742,1.03E-12,85.21456767,61.18829467,ITO
743,8.85E-13,85.19860135,50.59892794,ITO
744,7.40E-13,85.18014879,56.0173618,ITO
745,6.37E-13,85.15856466,49.49112451,ITO
746,5.66E-13,85.13320362,59.94284825,ITO
747,4.96E-13,85.10343688,47.47750596,ITO
748,4.26E-13,85.06918526,51.44296242,ITO
749,3.56E-13,85.03103393,50.04913214,ITO
750,3.04E-13,84.98960783,40.53609922,ITO
751,2.70E-13,84.94553191,42.1669877,ITO
752,2.37E-13,84.89943109,47.78348286,ITO
753,2.03E-13,84.85193032,33.60423386,ITO
754,1.69E-13,84.80365452,46.43274506,ITO
755,1.44E-13,84.75522864,42.31533245,ITO
756,1.28E-13,84.70727761,50.88855583,ITO
757,1.12E-13,84.66042636,67.90572241,ITO
758,9.58E-14,84.61529546,57.31170587,ITO
759,7.98E-14,84.57225272,45.69457335,ITO
760,6.73E-14,84.53127975,55.8670105,ITO
761,5.98E-14,84.49232558,67.22491032,ITO
762,5.23E-14,84.45533925,65.63309662,ITO
763,4.48E-14,84.42026979,69.38379568,ITO
764,3.73E-14,84.38706623,35.34308342,ITO
765,3.12E-14,84.35567761,43.67168404,ITO
766,2.77E-14,84.32605296,47.37752357,ITO
767,2.42E-14,84.29814131,64.64580655,ITO
768,2.07E-14,84.2718917,34.99728383,ITO
769,1.72E-14,84.24725316,79.17959772,ITO
770,1.43E-14,84.22417078,49.92403212,ITO
771,1.27E-14,84.2025549,48.86872134,ITO
772,1.11E-14,84.18229777,50.92541971,ITO
773,9.50E-15,84.16329147,54.77244373,ITO
774,7.89E-15,84.14542811,56.33075156,ITO
775,6.50E-15,84.12859977,28.10506856,ITO
776,5.77E-15,84.11269854,65.42588841,ITO
777,5.04E-15,84.09761651,54.36000818,ITO
778,4.31E-15,84.08324577,64.22180199,ITO
779,3.58E-15,84.06947841,71.81764028,ITO
780,2.93E-15,84.05620653,39.8785331,ITO
781,2.60E-15,84.04332221,60.20878767,ITO
782,2.27E-15,84.03071754,31.65232007,ITO
783,1.94E-15,84.01828462,77.24845944,ITO
784,1.61E-15,84.00591554,73.9607816,ITO
785,1.30E-15,83.99350238,46.58191434,ITO
786,1.16E-15,83.98093723,45.66428541,ITO
787,1.01E-15,83.9681122,56.53445378,ITO
788,8.61E-16,83.95491936,67.73779327,ITO
